Marka,İşlemci Tipi,Ram (GB),SSD kapasitesi (GB),Ekran Boyutu (inç),Cihaz Ağırlığı,İşlemci Çekirdek Sayısı,İşlemci Nesli,Dokunmatik Ekran,Ekran Yenileme Hızı (Hz),İşlemci Sınıfı,Marka Sınıfı,Cihaz Ağırlığı Sınıfı,Fiyat
ACER,AMD Ryzen 5,8,512.0,15.6,2 - 4 kg,6,5,0,144,4,0,0,16799.0
MSI,Intel Core i9,64,2048.0,17.0,2 - 4 kg,24,13,1,165,11,12,0,107829.0
MSI,Intel Core i7,8,512.0,17.3,2 kg ve Altı,8,11,0,144,10,12,1,25239.0
LENOVO,Intel Core i3,4,256.0,14.0,2 kg ve Altı,1,11,0,144,8,10,1,9199.0
ASUS,Intel Core i7,32,1024.0,15.6,2 - 4 kg,14,12,0,144,10,1,0,28966.83
ASUS,AMD Ryzen 7,16,512.0,15.6,2 kg ve Altı,8,6,0,144,5,1,1,25078.89
Casper,Intel Core i9,32,1024.0,16.0,2 - 4 kg,24,13,0,165,11,4,0,45999.0
LENOVO,Intel Pentium,8,256.0,15.6,2 kg ve Altı,4,10,0,60,12,10,1,6498.99
HP,Intel Core i5,16,512.0,15.6,2 - 4 kg,12,13,0,144,9,7,0,35999.0
Monster,Intel Core i5,8,512.0,14.1,2 - 4 kg,10,12,0,60,9,14,0,12799.0
ACER,Intel Core i5,8,512.0,15.6,2 - 4 kg,12,12,0,144,9,0,0,16299.0
MSI,Intel Core i7,16,512.0,15.6,2 - 4 kg,8,11,0,144,10,12,0,27999.0
ASUS,Intel Celeron,4,128.0,14.0,2 kg ve Altı,2,10,0,60,7,1,1,6049.0
ASUS,Intel Core i7,16,1024.0,16.0,2 - 4 kg,14,13,0,165,10,1,0,47999.0
LENOVO,Intel Core i5,8,256.0,15.6,2 - 4 kg,4,11,0,120,9,10,0,17222.4
Casper,Intel Core i7,32,1024.0,15.6,2 - 4 kg,10,12,0,144,10,4,0,21499.0
Monster,Intel Core i7,16,500.0,17.3,2 - 4 kg,14,12,0,144,10,14,0,27099.0
Monster,Intel Core i5,16,500.0,17.3,2 - 4 kg,6,11,0,144,9,14,0,17299.0
